Run,Date,LOAR38.control,LOMU37.control,LOAR53.water,LOMU52.water
374,10/7/2014 18:45,0.1252,0.1826,0.1993,0.1935
375,10/7/2014 22:45,0.123,0.1797,0.1978,0.1899
376,10/8/2014 2:45,0.1216,0.1775,0.1971,0.1884
377,10/8/2014 6:45,0.1201,0.1761,0.1957,0.1877
378,10/8/2014 10:45,0.1194,0.1753,0.1949,0.187
379,10/8/2014 14:45,0.1158,0.1724,0.1928,0.1862
380,10/8/2014 18:45,0.1143,0.1695,0.1891,0.1819
381,10/8/2014 22:45,0.1129,0.1681,0.1877,0.1797
382,10/9/2014 2:45,0.1114,0.1666,0.187,0.179
383,10/9/2014 6:45,0.1107,0.1659,0.1862,0.179
384,10/9/2014 10:45,0.1107,0.1652,0.1855,0.1782
385,10/9/2014 14:45,0.1063,0.0816,0.1833,0.2066
386,10/9/2014 18:45,0.1056,0.0802,0.1797,0.2051
387,10/9/2014 22:45,0.1049,0.0809,0.179,0.2015
388,10/10/2014 2:45,0.1042,0.0802,0.1775,0.2
389,10/10/2014 6:45,0.1027,0.0802,0.1768,0.1993
390,10/10/2014 10:45,0.102,0.0787,0.1768,0.2
391,10/10/2014 14:45,0.0998,0.078,0.1891,0.2313
392,10/10/2014 18:45,0.0991,0.0787,0.1862,0.232
393,10/10/2014 22:45,0.0983,0.0787,0.1848,0.2291
394,10/11/2014 2:45,0.0976,0.078,0.184,0.2284
395,10/11/2014 6:45,0.0976,0.078,0.1833,0.2269
396,10/11/2014 10:45,0.1012,0.086,0.2153,0.2407
397,10/11/2014 14:45,0.1078,0.094,0.2211,0.2472
398,10/11/2014 18:45,0.11,0.0911,0.2124,0.2414
399,10/11/2014 22:45,0.1085,0.0911,0.2087,0.2392
400,10/12/2014 2:45,0.1071,0.0896,0.2058,0.2378
401,10/12/2014 6:45,0.1063,0.0896,0.2037,0.2371
402,10/12/2014 10:45,0.1049,0.0882,0.2138,0.2407
403,10/12/2014 14:45,0.1034,0.0867,0.2095,0.24
404,10/12/2014 18:45,0.1034,0.0896,0.2087,0.2385
405,10/12/2014 22:45,0.1034,0.0889,0.2073,0.2378
406,10/13/2014 2:45,0.1027,0.0889,0.2058,0.2385
407,10/13/2014 6:45,0.1027,0.0874,0.2037,0.2371
408,10/13/2014 10:45,0.2443,0.4041,0.2806,0.253
409,10/13/2014 14:45,0.1891,0.1986,0.2429,0.2523
410,10/13/2014 18:45,0.1681,0.1775,0.2298,0.2436
411,10/13/2014 22:45,0.1579,0.1659,0.2233,0.2407
412,10/14/2014 2:45,0.1514,0.1586,0.2182,0.2385
413,10/14/2014 6:45,0.1463,0.1528,0.2146,0.2371
414,10/14/2014 10:45,0.1434,0.1499,0.2182,0.2414
415,10/14/2014 14:45,0.1383,0.1448,0.2131,0.2407
416,10/14/2014 18:45,0.1354,0.1368,0.2087,0.2334
417,10/14/2014 22:45,0.1332,0.1332,0.2058,0.2313
418,10/15/2014 2:45,0.131,0.1318,0.2037,0.2298
419,10/15/2014 6:45,0.1303,0.1296,0.2015,0.2291
