"Plot Title: LOMULOAR"
"#","Date Time, GMT-05:00","Water Content, m³/m³","Water Content, m³/m³","Water Content, m³/m³","Water Content, m³/m³"
139,04/16/15 12:45:03 PM,-0.3491,0.1971,-0.3077,0.1891
140,04/16/15 04:45:03 PM,-0.3019,0.1957,-0.2532,0.1877
141,04/16/15 08:45:03 PM,-0.2016,0.1993,0.0373,0.1928
142,04/17/15 12:45:03 AM,-0.0302,0.2639,-0.0128,0.2959
143,04/17/15 04:45:03 AM,-0.0745,0.2436,-0.0593,0.2719
144,04/17/15 08:45:03 AM,-0.1094,0.2378,-0.0731,0.2574
145,04/17/15 12:45:03 PM,-0.1442,0.2356,-0.1544,0.2509
146,04/17/15 04:45:03 PM,-0.1036,0.2291,-0.4006,0.2422
147,04/17/15 08:45:03 PM,-0.1232,0.2233,0.2233,0.2342
148,04/18/15 12:45:03 AM,-0.1936,0.2284,-0.2270,0.2371
149,04/18/15 04:45:03 AM,-0.2154,0.2291,-0.2191,0.2334
150,04/18/15 08:45:03 AM,-0.0803,0.2836,0.2639,0.2974
151,04/18/15 12:45:03 PM,-0.1610,0.2647,-0.2024,0.2879
152,04/18/15 04:45:03 PM,-0.1762,0.2480,-0.2220,0.2690
153,04/18/15 08:45:03 PM,-0.1973,0.2407,-0.1631,0.2560
154,04/19/15 12:45:03 AM,-0.1551,0.2363,-0.1239,0.2480
155,04/19/15 04:45:03 AM,-0.0992,0.2843,0.0722,0.2879
156,04/19/15 08:45:03 AM,-0.1508,0.2683,-0.0447,0.2799
157,04/19/15 12:45:03 PM,-0.1784,0.2567,-0.0912,0.2668
158,04/19/15 04:45:03 PM,-0.1646,0.2458,-0.3818,0.2567
159,04/19/15 08:45:03 PM,-0.2496,0.2356,-0.2873,0.2422
160,04/20/15 12:45:03 AM,-0.2445,0.2313,-0.2568,0.2363
161,04/20/15 04:45:03 AM,-0.2568,0.2291,-0.3069,0.2327
162,04/20/15 08:45:03 AM,-0.2670,0.2262,-0.2699,0.2291
163,04/20/15 12:45:03 PM,-0.3229,0.2254,-0.3338,0.2298
164,04/20/15 04:45:03 PM,-0.2822,0.2196,-0.2982,0.2247
165,04/20/15 08:45:03 PM,-0.3861,0.2138,-0.2764,0.2138
166,04/21/15 12:45:03 AM,-0.3854,0.2116,-0.3120,0.2109
167,04/21/15 04:45:03 AM,-0.3788,0.2109,-0.3164,0.2095
168,04/21/15 08:45:03 AM,-0.3498,0.2102,-0.3142,0.2095
169,04/21/15 12:45:03 PM,-0.2801,0.2116,-0.3229,0.2131
170,04/21/15 04:45:03 PM,-0.2793,0.2087,-0.1944,0.2109
171,04/21/15 08:45:03 PM,-0.3963,0.2037,-0.2561,0.2022
172,04/22/15 12:45:03 AM,-0.4006,0.2029,-0.2990,0.2000
173,04/22/15 04:45:03 AM,-0.3999,0.2022,-0.2859,0.1993
174,04/22/15 08:45:03 AM,-0.3512,0.2022,-0.2815,0.2008
175,04/22/15 12:45:03 PM,-0.3178,0.2051,-0.3520,0.2066
176,04/22/15 04:45:03 PM,-0.3694,0.2008,-0.1239,0.1986
177,04/22/15 08:45:03 PM,-0.3251,0.2008,-0.2714,0.1986
178,04/23/15 12:45:03 AM,-0.1653,0.2037,-0.1123,0.2051
179,04/23/15 04:45:03 AM,-0.1348,0.2385,-0.1915,0.2240
180,04/23/15 08:45:03 AM,-0.1697,0.2284,-0.1973,0.2204
181,04/23/15 12:45:03 PM,-0.1791,0.2262,-0.2300,0.2182
182,04/23/15 04:45:03 PM,-0.2358,0.2233,-0.2401,0.2175
183,04/23/15 08:45:03 PM,-0.2648,0.2175,-0.2837,0.2095
184,04/24/15 12:45:03 AM,-0.2728,0.2153,-0.2634,0.2080
185,04/24/15 04:45:03 AM,-0.2699,0.2138,-0.2525,0.2073
186,04/24/15 08:45:03 AM,-0.2692,0.2124,-0.2459,0.2066
187,04/24/15 12:45:03 PM,-0.2227,0.2618,-0.0970,0.2349
188,04/24/15 04:45:03 PM,-0.3178,0.2356,-0.3207,0.2204
189,04/24/15 08:45:03 PM,-0.2881,0.2284,-0.2801,0.2167
190,04/25/15 12:45:03 AM,-0.1994,0.2247,-0.2619,0.2146
191,04/25/15 04:45:03 AM,-0.2103,0.2225,-0.2510,0.2138
192,04/25/15 08:45:03 AM,-0.1871,0.2211,-0.2321,0.2131
193,04/25/15 12:45:03 PM,-0.0854,0.2240,-0.2721,0.2182
194,04/25/15 04:45:03 PM,-0.2132,0.2167,-0.2699,0.2109
195,04/25/15 08:45:03 PM,-0.3389,0.2095,-0.3069,0.1993
196,04/26/15 12:45:03 AM,-0.3433,0.2073,-0.3091,0.1986
197,04/26/15 04:45:03 AM,-0.3469,0.2058,-0.3258,0.1971
198,04/26/15 08:45:03 AM,-0.3178,0.2058,-0.2895,0.1978
199,04/26/15 12:45:03 PM,-0.3055,0.2080,-0.3621,0.2029
200,04/26/15 04:45:03 PM,-0.2416,0.2051,-0.3280,0.1993
201,04/26/15 08:45:03 PM,-0.3607,0.2008,-0.3425,0.1913
202,04/27/15 12:45:03 AM,-0.3295,0.1993,-0.2074,0.1913
203,04/27/15 04:45:03 AM,-0.3011,0.1986,-0.2089,0.1913
204,04/27/15 08:45:03 AM,-0.1900,0.2828,-0.1239,0.3075
205,04/27/15 12:45:03 PM,-0.2060,0.2516,-0.1290,0.2828
206,04/27/15 04:45:03 PM,-0.2895,0.2378,-0.1639,0.2654
207,04/27/15 08:45:03 PM,-0.2953,0.2298,-0.2423,0.2509
208,04/28/15 12:45:03 AM,-0.2670,0.2291,-0.1769,0.2494
209,04/28/15 04:45:03 AM,-0.2394,0.2647,-0.2038,0.2661
210,04/28/15 08:45:03 AM,-0.2590,0.2487,-0.2154,0.2538
