"Plot Title: LOMULOAR"
"#","Date Time, GMT-06:00","Water Content, m³/m³","Water Content, m³/m³","Water Content, m³/m³"
261,04/15/16 07:06:54 PM,0.0904,-0.3498,0.0925
262,04/15/16 11:06:54 PM,0.0904,-0.3839,0.0925
263,04/16/16 03:06:54 AM,0.0896,-0.3781,0.0918
264,04/16/16 07:06:54 AM,0.0896,-0.3527,0.0918
265,04/16/16 11:06:54 AM,0.0882,0.0860,0.0896
266,04/16/16 03:06:54 PM,0.0845,0.1739,0.0831
267,04/16/16 07:06:54 PM,0.0802,-0.2481,0.0780
268,04/16/16 11:06:54 PM,0.0795,-0.2866,0.0780
269,04/17/16 03:06:54 AM,0.0787,-0.3128,0.0773
270,04/17/16 07:06:54 AM,0.0780,-0.3098,0.0766
271,04/17/16 11:06:54 AM,0.0766,-0.2103,0.0751
272,04/17/16 03:06:54 PM,0.0751,-0.0259,0.0729
273,04/17/16 07:06:54 PM,0.0736,-0.2830,0.0707
274,04/17/16 11:06:54 PM,0.0729,-0.2997,0.0707
275,04/18/16 03:06:54 AM,0.2741,-0.0949,0.2480
276,04/18/16 07:06:54 AM,0.2872,-0.1777,0.3170
277,04/18/16 11:06:54 AM,0.2872,-0.2481,0.2567
278,04/18/16 03:06:54 PM,0.2770,-0.2728,0.2371
279,04/18/16 07:06:54 PM,0.2603,-0.2793,0.2225
280,04/18/16 11:06:54 PM,0.2523,-0.2401,0.2146
281,04/19/16 03:06:54 AM,0.2480,-0.0404,0.2102
282,04/19/16 07:06:54 AM,0.2458,-0.0818,0.2073
283,04/19/16 11:06:54 AM,0.2436,-0.0215,0.2087
284,04/19/16 03:06:54 PM,0.2363,-0.0237,0.2029
285,04/19/16 07:06:54 PM,0.2291,-0.3709,0.1964
286,04/19/16 11:06:54 PM,0.2262,-0.3309,0.1935
287,04/20/16 03:06:54 AM,0.2247,-0.2866,0.1920
288,04/20/16 07:06:54 AM,0.2233,-0.3411,0.1913
289,04/20/16 11:06:54 AM,0.2792,-0.1537,0.2443
290,04/20/16 03:06:54 PM,0.2683,-0.0317,0.2269
291,04/20/16 07:06:54 PM,0.2552,-0.3825,0.2138
292,04/20/16 11:06:54 PM,0.2472,-0.3934,0.2080
293,04/21/16 03:06:54 AM,0.2436,-0.3128,0.2051
294,04/21/16 07:06:54 AM,0.2414,-0.1442,0.2037
295,04/21/16 11:06:54 AM,0.2806,-0.1283,0.2443
296,04/21/16 03:06:54 PM,0.2683,0.1557,0.2262
297,04/21/16 07:06:54 PM,0.2545,-0.3600,0.2131
298,04/21/16 11:06:54 PM,0.2480,-0.3803,0.2080
299,04/22/16 03:06:54 AM,0.2436,-0.3854,0.2037
300,04/22/16 07:06:54 AM,0.2400,-0.3963,0.2015
301,04/22/16 11:06:54 AM,0.2385,0.1572,0.2037
302,04/22/16 03:06:54 PM,0.2313,0.1906,0.1986
303,04/22/16 07:06:54 PM,0.2247,-0.3258,0.1899
304,04/22/16 11:06:54 PM,0.2225,-0.3382,0.1877
305,04/23/16 03:06:54 AM,0.2204,-0.2249,0.1862
306,04/23/16 07:06:54 AM,0.2196,-0.2314,0.1862
307,04/23/16 11:06:54 AM,0.2196,0.1390,0.1899
308,04/23/16 03:06:54 PM,0.2160,-0.0033,0.1840
309,04/23/16 07:06:54 PM,0.2124,-0.3643,0.1797
310,04/23/16 11:06:54 PM,0.2102,-0.3069,0.1782
311,04/24/16 03:06:54 AM,0.2095,-0.2960,0.1782
